feature,coefficient,abs_coefficient
"cat__materials_text_Composition: 61% polyester, 39% cotton, 0% viscose | 61% polyester | 39% cotton",0.05691759488898109,0.05691759488898109
cat__materials_text_97% cotton | 3% polyester | 100% cotton | 97% OCS certified organically grown cotton,0.056405009729897794,0.056405009729897794
cat__materials_text_100% LINEN SUIT JACKET | 100% linen | 100% polyester | / 100% LINEN SUIT JACKET | 100% certified European grown linen,-0.055937021648000525,0.055937021648000525
cat__colour_from_title_Ecru / Black,-0.054829181058296525,0.054829181058296525
cat__colour_from_title_Faded blue,-0.054503629512972586,0.054503629512972586
cat__materials_text_CROPPED FIT 100% LINEN OVERSHIRT | 100% linen | 62% cotton | 38% polyester | 95% polyester | / CROPPED FIT 100% LINEN OVERSHIRT | 100% certified European grown linen | 62% OCS certified organically grown cotton | 38% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,0.053709193529480836,0.053709193529480836
cat__colour_from_title_Ecru / Navy,0.05370050023165871,0.05370050023165871
cat__Source File_comparison_boynew,0.05359815844471578,0.05359815844471578
"cat__materials_text_Composition: 60% cotton, 40% polyester",0.0531954286207797,0.0531954286207797
cat__made_in_Bangladesh,0.05287103149570539,0.05287103149570539
"cat__materials_text_Composition: 46% cotton, 22% polyester, 20% viscose, 12% polyamide | 46% cotton | 22% polyester | 22% RCS-certified recycled polyester | 46% OCS certified organically grown cotton",-0.051784142632202455,0.051784142632202455
"cat__materials_text_Composition: 98% cotton, 2% elastane",0.05090888563508049,0.05090888563508049
cat__materials_text_100% LINEN DOUBLE BREASTED SUIT JACKET | 100% linen | 62% cotton | 38% polyester | 95% polyester | / 100% LINEN DOUBLE BREASTED SUIT JACKET | 100% certified European grown linen | 62% OCS certified organically grown cotton | 38% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,0.0502513613974878,0.0502513613974878
cat__materials_text_14% polyester | 31% polyester | 31% RCS-certified recycled polyester,0.05022867897779548,0.05022867897779548
"cat__materials_text_Composition: 51% polyester, 49% cotton | 51% polyester | 49% cotton | 51% RCS-certified recycled polyester | 49% OCS certified organically grown cotton",-0.050152508129225795,0.050152508129225795
cat__colour_from_title_Oyster-white,0.049817968929628226,0.049817968929628226
cat__colour_from_title_Dark fuchsia,-0.049753060502964096,0.049753060502964096
cat__colour_from_title_Dark gray,0.049201440605082775,0.049201440605082775
cat__materials_text_100% LINEN WIDE FIT WRAP SHORTS | Composition: 100% linen | / 100% LINEN WIDE FIT WRAP SHORTS | 100% linen,0.0491790222888447,0.0491790222888447
cat__colour_from_title_White,0.048930132083651434,0.048930132083651434
cat__Source File_comparison_girlnew,0.04820652367159206,0.04820652367159206
cat__colour_from_title_Ivory,-0.04740959687272557,0.04740959687272557
"cat__materials_text_Composition: 66% polyester, 31% viscose, 3% elastane | 66% polyester",-0.04707561987913842,0.04707561987913842
"cat__materials_text_Relaxed fit pants made of a fabric blend with cotton and 19% linen. Waist with front pleat detail. Front pockets and back patch pockets. Front zip and button closure. | Composition: 81% cotton, 19% linen | 81% cotton | 19% linen",-0.04667880614973961,0.04667880614973961
cat__colour_from_title_Navy blue,0.04645957525139905,0.04645957525139905
cat__colour_from_title_Raspberry,-0.046310222794815066,0.046310222794815066
cat__Source File_comparison_rousers,0.04619381078322299,0.04619381078322299
"cat__materials_text_Composition: 72% polyester, 28% cotton | 72% polyester | 28% cotton | 72% RCS-certified recycled polyester",0.046172874979648164,0.046172874979648164
cat__colour_from_title_Ecru / Blue,0.04560103985344453,0.04560103985344453
cat__materials_text_Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton | 70% OCS certified organically grown cotton,-0.044804591833876244,0.044804591833876244
cat__made_in_Cambodia,0.044674128681893646,0.044674128681893646
"cat__materials_text_Composition: 91% polyester, 9% elastane | 91% polyester | 91% RCS-certified recycled polyester",0.04433193589960849,0.04433193589960849
"cat__materials_text_Composition: 98% cotton, 2% elastane | 98% cotton",0.0440168737892678,0.0440168737892678
cat__colour_from_title_Ice,-0.0438241736255165,0.0438241736255165
cat__materials_text_100% cotton,0.04344666025545123,0.04344666025545123
cat__colour_from_title_Mid-green,-0.04342219839244021,0.04342219839244021
cat__Source File_comparison_suitsl808.html,0.0429400087674005,0.0429400087674005
cat__colour_from_title_Light beige,0.0428945851895738,0.0428945851895738
cat__colour_from_title_Bluish,0.04273724890753616,0.04273724890753616
cat__materials_text_52% cotton | 38% polyester | 80% polyester | 20% cotton | 52% RCS-certified recycled cotton | 38% RCS-certified recycled polyester | 20% RCS-certified recycled cotton | 80% RCS-certified recycled polyester,-0.042657051985368934,0.042657051985368934
cat__colour_from_title_Ecru,-0.04240253744285276,0.04240253744285276
cat__colour_from_title_Green / Blue,-0.04238268726946806,0.04238268726946806
"cat__materials_text_Composition: 37% viscose, 27% cotton, 22% polyester, 14% polyamide | 27% cotton | 22% polyester | 22% RCS-certified recycled polyester | 27% OCS certified organically grown cotton",0.04074582049481496,0.04074582049481496
cat__colour_from_title_Green stripe,0.04074582049481496,0.04074582049481496
cat__colour_from_title_Dark brown,-0.04061775334309644,0.04061775334309644
cat__materials_text_93% POLYESTER | 93% polyester | 93% RCS-certified recycled polyester,0.04036901866771585,0.04036901866771585
cat__materials_text_64% polyester | 65% polyester | 35% cotton | 64% RCS-certified recycled polyester | 35% OCS certified organically grown cotton | 65% RCS-certified recycled polyester,0.03988563862770565,0.03988563862770565
cat__colour_from_title_Khaki,0.03971530404202845,0.03971530404202845
cat__materials_text_Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton,0.03917962488556677,0.03917962488556677
"cat__materials_text_Composition: 63% polyester, 34% viscose, 3% elastane | 63% polyester | 63% RCS-certified recycled polyester",0.03832929325030898,0.03832929325030898
cat__colour_from_title_Sand / Marl,-0.03713667634476059,0.03713667634476059
cat__colour_from_title_Burgundy,-0.03618737821180611,0.03618737821180611
"cat__materials_text_Composition: 65% viscose, 35% linen | 35% linen",-0.03568294199006474,0.03568294199006474
"cat__materials_text_Composition: 62% polyester, 38% cotton, 0% viscose | 62% polyester | 38% cotton",-0.03498150164813756,0.03498150164813756
cat__materials_text_100% LINEN BALLOON FIT PANTS | Composition: 100% linen | / 100% LINEN BALLOON FIT PANTS | 100% linen | 100% certified European grown linen,0.03493724806984903,0.03493724806984903
